"gene","Genotype.statistic","Diet.statistic","Genotype:Diet.statistic","Genotype.p.value","Diet.p.value","Genotype:Diet.p.value","Genotype.p.adj","Diet.p.adj","Genotype:Diet.p.adj"
"Emilin2",0.28183811296242,0.00719401677178706,0.0322249365943022,0.59550529999034,0.932407351807784,0.857536819126132,0.74556226448021,0.955002899514104,0.933476333291969
"ENSMUSG00000029386",2.22487832460592,0.688934479383383,0.0323368292232136,0.135820276364439,0.406537669168112,0.857292350512803,0.282463374699285,0.531715081758781,0.933476333291969
"Epc1",4.99932159395224,10.5731086829214,0.032111606904629,0.025369042425639,0.00114948422660569,0.857784874493567,0.0782737610577323,0.00359570776500936,0.933683238743403
"Nudt15",2.50635118109154,2.94363421941825,0.0319548453387277,0.113405159992819,0.0862331681790689,0.858128739144756,0.247783350252966,0.159482336876943,0.933994395839676
"Slco5a1",1.21753840190247,4.94464411709994,0.0319079965171101,0.269858526374294,0.0261835632292193,0.858231673330824,0.455745343492948,0.058228686463212,0.934043297894449
"Shisa3",0.576685890573651,0.0146502519440464,0.0317742901953082,0.447623888073064,0.90366206296832,0.858525876617043,0.623537654977228,0.93519731362332,0.93427767158888
"Col5a3",3.26491558277337,4.94982474997414,0.0317491226500058,0.0707927818790089,0.0261052360307479,0.85858132589111,0.175625651586399,0.0580705367872818,0.93427767158888
"Aloxe3",1.58858081621853,0.0616406999428378,0.031731084924169,0.207544788625724,0.80392402586156,0.8586210806585,0.37956771507553,0.862234487042008,0.93427767158888
"Col25a1",0.00505018919969685,4.7520598941387,0.0316392765201417,0.943347038101097,0.0292757118714905,0.858823605354428,0.970280873437785,0.0640612567287146,0.934406725221613
"Mre11a",4.61235066642543e-05,0.0624937265297096,0.0316247230296604,0.994581338050789,0.802599806498024,0.858855737440545,0.997679143252467,0.861215744921549,0.934406725221613
"Dmp1",0.544847081959755,18.9783777990351,0.0315484882159396,0.460440143050822,1.32914252840196e-05,0.859024178079614,0.63474596554639,5.73811853481416e-05,0.934526843643833
"Ajm1",1.87237355868818,2.21092155851101,0.0314032935012124,0.171219970966339,0.137053699928536,0.859345567121779,0.332959963517111,0.233196928354736,0.934560793365436
"Apmap",9.52458179599984,0.0515286170275097,0.0314861698001077,0.00203034918018168,0.820426887197118,0.85916202648152,0.0094329812026733,0.874531713507611,0.934560793365436
"Dock4",0.723727391793795,9.28266869669374,0.0314221778407993,0.394934898715106,0.00231655587532628,0.859303723273451,0.574908395770145,0.00680092367690781,0.934560793365436
"Tmem191",0.105748279121621,50.9260642220462,0.0314416744747069,0.745041224962834,9.94340816929998e-13,0.859260536309938,0.85251182019303,8.32217784564644e-12,0.934560793365436
"Camk4",0.0251280344453256,0.529809334321216,0.0314042973511768,0.874050160941348,0.466696172151698,0.859343342468304,0.92993130308426,0.588827741139136,0.934560793365436
"Cox4i1",0.00563745389569513,67.6796156325552,0.0313247230375791,0.940149495179959,2.04865458612697e-16,0.859519802722569,0.96812736133759,2.15476713261937e-15,0.934687154459855
"Psd",15.1469254748418,25.6182114937949,0.0311388568867781,9.98061226100307e-05,4.20052780357666e-07,0.859932873378914,0.000663574728484444,2.20185869860009e-06,0.935073202783486
"Imp4",0.110216754329041,10.4322735913151,0.0308460442348225,0.73990123129267,0.00124046790255394,0.86058621011326,0.849225197969056,0.00385102267877888,0.935530935087682
"Tmcc2",11.2889359726047,2.53003000722345,0.0308768715607069,0.000781267174459249,0.111715048631535,0.860517276656793,0.00407407555385922,0.196976327817616,0.935530935087682
"Acadsb",0.281394859536751,6.58245009398321,0.0308577586504102,0.595794749144017,0.0103066500885149,0.860560011147688,0.745808678907501,0.0257994693572759,0.935530935087682
"Nr1h4",21.1649823780998,218.313798429116,0.0309008400982483,4.24167628437627e-06,4.00084359922878e-49,0.860463704751653,3.78901654128958e-05,1.36206309679452e-47,0.935530935087682
"Rbsn",4.05259843407739,0.289661770343126,0.0307201701508206,0.044117756802825,0.590443782812532,0.860868048243721,0.121752911361764,0.697010207069144,0.935774144786597
"Lrrc57",0.455338393112428,5.79724460126674,0.0306504763404583,0.499819046536102,0.0160609593150516,0.86102435206149,0.668238273660518,0.0380449584951861,0.935817706617588
