"gene","Genotype.statistic","Diet.statistic","Genotype:Diet.statistic","Genotype.p.value","Diet.p.value","Genotype:Diet.p.value","Genotype.p.adj","Diet.p.adj","Genotype:Diet.p.adj"
"Ip6k3",0.0989826391440222,0.160966137321765,0.0252142148104678,0.753055295634532,0.688270342386933,0.873835112530706,0.833162115758787,0.752332037004373,0.926305055464819
"Bmp8a",22.138634171682,3.60324815722481,0.0251351272056918,2.54353253331471e-06,0.0576727389602597,0.874031479192716,1.22524649437004e-05,0.0933790084607726,0.926406318070173
"Daglb",34.2939054044704,356.84301093058,0.0250383778132921,4.76916459860121e-09,2.64777584395751e-79,0.874272129500272,3.18537924380107e-08,5.59712304053199e-78,0.926406318070173
"Il25",2.25491391870377,0.688737763774103,0.0251215688018346,0.133197385781619,0.406598139589544,0.87406517514702,0.230815910610818,0.491803367622725,0.926406318070173
"Gsdmc4",4.42431911044743,0.576718200179996,0.0250705430833018,0.0354353941020155,0.447605263210934,0.874192070179477,0.0762695448209202,0.531917271613082,0.926406318070173
"Tarbp2",1.06947369597276,0.803267134716897,0.0250424302567289,0.301069523054307,0.370122799452657,0.874262040072099,0.433213280300119,0.45681595440483,0.926406318070173
"Dmd",6.95517633880955,26.1636718637525,0.025080413368611,0.00836037662771762,3.14862903187247e-07,0.874167513607706,0.0213696373067462,9.49605980207304e-07,0.926406318070173
"Map6",0.0495746676158265,0.143524758645728,0.0249590688609953,0.823805982765825,0.704803430210739,0.874469754892267,0.883572086286197,0.766389567341853,0.926555409476724
"Cldn13",0.836816026931375,0.746501745218256,0.024890770789069,0.36031353681334,0.387590346094606,0.874640200964048,0.492676700160512,0.473066812562478,0.926675685158616
"Smarcb1",3.63959361192854,17.2669522653537,0.0248441845682573,0.0564266165985904,3.25344142747103e-05,0.874756600022934,0.113938225824991,8.22685507456051e-05,0.926738686447104
"Ppp1r8",3.29167448813733,19.8183178718887,0.0247914246013173,0.0696381646983775,8.53526802198236e-06,0.874888559775172,0.136009168082012,2.2763365317654e-05,0.926818163843832
"Cd34",0.844715304328966,12.3919654111971,0.0246157924350687,0.35805624490769,0.000431581188041077,0.87532887930626,0.490564273867019,0.00097486081012276,0.927224272319927
"Cdo1",4.94874207193645,31.4579819231386,0.0245218616192391,0.0261142529633378,2.0491284785976e-08,0.875565029738712,0.0583395135169158,6.68946334659711e-08,0.927414068397021
"Fbxo8",0.963166715366366,6.5108376647228,0.024355504489186,0.326395219567007,0.0107249452578489,0.875984406228857,0.461295041147189,0.0200332722012861,0.927643084798375
"Ky",2.26012808791892,7.18396279663959,0.024383393459967,0.132749606294015,0.0073582965543288,0.875913997645461,0.230285126467833,0.0141139515690325,0.927643084798375
"Gadd45b",3.34373310465167,32.1628013568171,0.0244033362524416,0.0674675426369925,1.42585496286646e-08,0.875863675298726,0.13246914252139,4.70859022734376e-08,0.927643084798375
"Gjd3",0.964164054533304,2.99064287644516,0.0243456848943773,0.326144880818994,0.0837532913285202,0.87600920663733,0.46110121683978,0.129784113000221,0.927643084798375
"Kcnv1",0.116202050326349,0.051738633955244,0.0242905426260032,0.7331922256672,0.820066034954246,0.876148569435927,0.818417902700934,0.86111959557127,0.927669958024367
"Or2l13",0.0194328463181666,0.835622383562272,0.0242927856657842,0.889133274107715,0.360656334211103,0.876142897371059,0.927897820263594,0.449551031183891,0.927669958024367
"Slc9a6",0.218948282834696,3.72935708679756,0.024258074143438,0.639844552139459,0.0534698012322717,0.876230703856935,0.745401501229171,0.0872946795042814,0.927696576471922
"Ddr2",12.4227977214831,78.7894748024465,0.0241292600754226,0.00042451573757062,7.14009916957244e-19,0.876557116493515,0.00143090550019403,4.00894771242258e-18,0.927806430506254
"Aif1l",1.445856698672,0.455080879389847,0.0241495836127752,0.229199828429028,0.499935171617235,0.876505557814205,0.352983783455322,0.582160880556141,0.927806430506254
"Adcyap1r1",0.197083445322278,0.0920188349114316,0.0241543160020706,0.657087360993665,0.76162744834369,0.876493555429267,0.758970406960963,0.812954920719559,0.927806430506254
"Grik4",1.46534060782043,0.564175926140204,0.0241271511864345,0.226088193805475,0.452586226791629,0.876562467796595,0.349348540969406,0.536817460721952,0.927806430506254
"Fam124a",0.038734927934508,58.468788255816,0.024063810337389,0.843975556970278,2.10344475819429e-14,0.87672330689365,0.897282177714253,9.75713033033013e-14,0.927916331771112
"Pak5",0.193783425583466,0.18582855152489,0.0240183422609065,0.65978815043772,0.666413315509069,0.876838896009094,0.761171714839802,0.733960994420537,0.927941900532989
"Ssx9",0.545477468670201,0.834937965329548,0.0240094622745191,0.460175090317599,0.36085309219085,0.876861483817528,0.591501097795541,0.449638964411417,0.927941900532989
"Nmnat2",1.21928877697327,10.9900147465999,0.0239746507556852,0.269505764841563,0.000916713833931158,0.876950074321113,0.399739870086214,0.00199348293522033,0.927947230201633
"Fam50a",5.30319885687176,1.94493221141261,0.0239626854623211,0.0212905177715139,0.163140402560956,0.876980539546091,0.0487063608948604,0.232057706238284,0.927947230201633
"Slc13a3",2.53727385925669,15.9524127929175,0.0238929087409434,0.111193139725778,6.50508530508213e-05,0.877158355686349,0.20029777947283,0.000160174415724176,0.927954410211017
"Slc4a4",31.8981511316473,198.623622720415,0.0239268676705312,1.63380686131214e-08,5.12087362151524e-45,0.8770717829793,1.03557142841035e-07,6.11536756694084e-44,0.927954410211017
"Ric8a",10.5121953932441,63.0653602226735,0.0239017084448062,0.00118669532687701,2.04238940446736e-15,0.877135916244776,0.00365553365548394,9.89109560741302e-15,0.927954410211017
"Plekhh1",13.2005203036174,17.5983052914267,0.0236996787801801,0.000280160710889089,2.73316806491105e-05,0.877652167108896,0.000978998688523338,6.9631830634774e-05,0.928416476508188
"Atp4a",3.33503646979084,0.379284953887413,0.0235966214218672,0.0678250609610454,0.537989061780841,0.877916379552772,0.132978621689103,0.618377795255049,0.92863553678557
"Defb14",0.195850750387057,0.510558538363062,0.0235744285656263,0.65809303227211,0.474900615329195,0.877973353541386,0.75975461283021,0.558280898144829,0.92863553678557
"Rbm44",0.0156982192941442,2.44450671094514,0.0235213515118458,0.900292482329884,0.117943493530974,0.878109725549936,0.934927952972025,0.175369164538564,0.928659086659496
"Rbfox1",0.208235436121799,7.53594444850656,0.0235387543459527,0.648156028162973,0.0060502335686543,0.8780649947394,0.752010891121664,0.0117489443804565,0.928659086659496
"Tox2",7.6747113005282,4.7290056195702,0.0234649929152684,0.00560213994769739,0.0296628537028772,0.878254701398318,0.0149563196050381,0.0511843813974061,0.928661239868749
"Upf1",21.0675944670451,26.0822192986975,0.0234457009409522,4.44475401799867e-06,3.28421712507341e-07,0.87830436865907,2.06588409911378e-05,9.88849466237882e-07,0.928661239868749
"Nt5dc3",5.35890297948089,6.26389599107044,0.0234426736151006,0.0206209009349845,0.0123255624890105,0.878312164419001,0.0473608585464573,0.0227980887083663,0.928661239868749
"C6",0.0415147547377105,0.371266008644333,0.0234318752168695,0.838548396436323,0.542317852704081,0.878339975903385,0.893605655336471,0.622342617630029,0.928661239868749
"Kmo",4.9433401444296,0.373460458003454,0.0233986727982737,0.0261959754214255,0.54112690801795,0.878425530487125,0.0584979958752288,0.621200635432767,0.928691371767923
"Zfp267",0.770157997064836,4.05191578128725,0.0233538552244063,0.380172535469846,0.0441267736358096,0.878541113089736,0.513106829174352,0.0735310702774441,0.928753243993091
"Ror2",72.7038897472465,46.1842896722482,0.0232845929195428,1.54917947604692e-17,1.08879809231388e-11,0.878719961064765,2.18509482942943e-16,4.39107198924503e-11,0.928881985079308
"Lhx9",1.84365458352986,0.529305917986087,0.0232380961950729,0.174529541487955,0.46690233160648,0.878840176875556,0.28645934726222,0.550534672011759,0.928926409745595
"Gimd1",0.0154290771276325,2.48711709379353,0.0232242009617645,0.901146483158649,0.114788339686538,0.878876126441123,0.935476896051072,0.17127232606818,0.928926409745595
"Zer1",26.8643979386608,49.0437520361184,0.0230900990650274,2.19117115956888e-07,2.53570955435031e-12,0.879223640226223,1.21477155872965e-06,1.0610217073563e-11,0.929173041940153
"Homer3",3.05570991146015,107.333889862587,0.0231086994905766,0.0804601700040651,3.99616634364539e-25,0.879175377228265,0.153678735878452,2.80974512205253e-24,0.929173041940153
"Supv3l1",23.0989394735994,1.8877375854891,0.0229993943943673,1.54336333233154e-06,0.169463683541563,0.879459279411038,7.62870481638643e-06,0.239378666753973,0.929305443187987
"Ccdc177",0.494502266623958,0.448728108965132,0.0229979212654011,0.481929173559913,0.502942770692197,0.879463110331618,0.610883977730295,0.584909937021784,0.929305443187987
"Yap1",10.970979435033,10.107680759341,0.0228999223713112,0.000926176103762602,0.00147745604715698,0.879718242199383,0.00292328261410585,0.00312318858176288,0.929514691871428
"Elavl4",0.0530379132708403,7.21988672642314,0.0228676916892806,0.817859932118033,0.00721248863500272,0.879802274054239,0.878851544096399,0.0138489651423781,0.92954313999616
"Gspt1",29.8256299121429,11.8600027197703,0.0227329161313286,4.75022053294632e-08,0.000574009997940832,0.880154318908069,2.84785781269861e-07,0.00128234432287715,0.929854731541938
"Spink8",1.77326886023445,0.202052504560593,0.0227057952613546,0.182984320291706,0.65307121237294,0.880225289741772,0.297626016080852,0.722640389109065,0.929869356251741
"Tspo2",0.0573042720917855,37.0557783336417,0.0226838062425953,0.810809541350689,1.15658389031005e-09,0.88028286319566,0.873778264338266,4.10952106146619e-09,0.92986982699953
"Ccr1l1",1.26853034401275,0.669619160822278,0.0225393335002291,0.260048152157805,0.413188445289784,0.880661845387722,0.388972962017331,0.498330492292665,0.930209789576636
"Gal3st3",0.0848717606910838,3.13174888832363,0.022489920966779,0.770802042111719,0.0767876262760543,0.88079174969179,0.846125225212601,0.120399980049642,0.930286633556114
"Mamdc4",0.22727601977246,0.0331052613249708,0.0223024487445037,0.633553168513174,0.855623894139878,0.881285941252162,0.740859970773132,0.890529453604117,0.930713617159186
"Tmem68",12.3527643413091,4.90049867019724,0.0222624406598099,0.000440736023429215,0.026853585901324,0.881391680334925,0.00147792753468425,0.0467882485244969,0.930713617159186
"Zmym1",0.669335711848081,8.52382948399083,0.0222476977172801,0.413287331917645,0.0035068767687098,0.881430669577734,0.546347643192205,0.00705318585991466,0.930713617159186
"Plekhf1",28.7241563317437,1.22216714684461,0.0222681214916446,8.38370511118517e-08,0.268941263072011,0.881376660307606,4.88409334626918e-07,0.352431924887137,0.930713617159186
"Plvap",14.0727335977591,6.57197080608134,0.0222212942987948,0.000176079985373444,0.010362709719873,0.881500529178287,0.000637467509324632,0.0194145748285421,0.930713617159186
"Herpud2",10.2308818153664,0.535219931014894,0.0222067255363641,0.0013819752081143,0.464424063763566,0.881539094166196,0.00420012315667292,0.548301333566372,0.930713617159186
"Cysrt1",1.1451012605724,8.24586053865162,0.0221551545572408,0.284582316988213,0.00408627660572031,0.881675711772435,0.415175998925337,0.00812910343575037,0.930768972771716
"Eqtn",0.593406546798936,3.21300755183584,0.0221437705633549,0.441108603453506,0.0730613265126522,0.881705891206432,0.573568041093842,0.115218285518979,0.930768972771716
"Nr1i3",0.0810184725521289,3.9215374400572,0.0220207145569972,0.775923141680083,0.0476769188072431,0.882032625171048,0.850427646429649,0.0788015035972275,0.93078537694891
"Fabp12",0.0746479558669465,0.0178274098808784,0.0220602253913251,0.78468697831088,0.893783237901659,0.881927615930698,0.85657232552922,0.920184045751126,0.93078537694891
"Esrp1",59.8770213014109,18.5834864928148,0.0219872203378359,1.02922516999007e-14,1.62944168633294e-05,0.882121719285734,1.14823153474492e-13,4.2395176356204e-05,0.93078537694891
"Nkx3-2",3.34379767880261,7.57743286995487,0.0220036602794015,0.0674648955435142,0.00591255722600279,0.882077980630855,0.13246914252139,0.0114994257339763,0.93078537694891
"Stxbp2",8.35773307398361,8.35717204144727,0.0220253065918856,0.00384220175188124,0.00384338801309227,0.882020415827204,0.0106649928232215,0.00767687160254055,0.93078537694891
"Krt39",1.7804494881586,0.0703615798557928,0.0220045597863438,0.182100419541935,0.790812175946812,0.882075587964137,0.296589920758758,0.837424356768347,0.93078537694891
"Tbl3",48.2847970741065,21.5203404880463,0.0220002917028526,3.73246255684197e-12,3.51010492091645e-06,0.88208694140713,3.39403871719088e-11,9.68865148342496e-06,0.93078537694891
"Il18rap",1.35198465922409,0.983611836781026,0.0218413105748017,0.244937188722101,0.321313684059502,0.882510648536077,0.371964024954766,0.408308442145094,0.931116098556529
"Iqch",2.49421656627208,7.75472201838954,0.0218267404084454,0.114271759295812,0.00535930936831241,0.882549558796469,0.204866528939096,0.0104847930995218,0.931116098556529
"Flna",106.997049339005,163.243427458182,0.0218039891621952,4.73472531055115e-25,2.54342773884522e-37,0.882610343533992,1.01270859237636e-23,2.54452202244522e-36,0.931119875669375
"Mndal",2.69673304431597,3.15876710834279,0.0217403529375396,0.100560597788027,0.0755264760958508,0.882780533367772,0.184430969036137,0.118604056657914,0.931239062970008
"Rxylt1",3.62812924241025,25.7048664248392,0.0217026267040115,0.0568165632630348,3.99286706289484e-07,0.882881549247452,0.114611872627639,1.19470399232977e-06,0.931285268427242
"Kidins220",7.16377471752341,43.4556387592225,0.0216409718923605,0.00744155456358195,4.38123382308607e-11,0.883046829647977,0.0192968270880075,1.70361545481061e-10,0.93139925130768
"Gpr55",41.8158822229121,1.94564162087699,0.0215689195829647,1.01238159203742e-10,0.163063684247197,0.883240288114347,8.06190566222753e-10,0.231968850593569,0.931542938484885
"Wdr86",0.357236640965414,0.764372161663015,0.0215199690553361,0.550047750621887,0.381968058093632,0.883371907303211,0.671652455879403,0.468310792527121,0.931621390124036
"Cdc7",7.00619874912327,124.025887770911,0.0213471667425138,0.00812542604938031,9.01310659974783e-29,0.88383776867092,0.0208476607512237,7.05658182415081e-28,0.931991925411802
"Slc37a4",1.49846544374622,52.1204652765689,0.0213515052383856,0.220913588435419,5.29634350085803e-13,0.883826048909217,0.3433082374416,2.29461227477951e-12,0.931991925411802
"Trmt44",21.7856172253263,0.00424045891537145,0.0212591688262143,3.05692840799217e-06,0.948079676020686,0.884075744217692,1.4566049091595e-05,0.961548562937797,0.932148571539761
"Dek",0.319082102626541,59.6590664149391,0.0212139420272823,0.572162408618907,1.14959984614338e-14,0.884198248182208,0.690318547556886,5.38630877826017e-14,0.932148571539761
"Pnpla3",2.70504714371452,4.32707110223157,0.0212076164818672,0.100037619491459,0.0375159876436564,0.884215392552308,0.183616636497799,0.0635165103885787,0.932148571539761
"Lin28a",1.59800641958129,0.628318884103937,0.0212340142631103,0.206192047244543,0.427976515071426,0.884143862902287,0.326318712007723,0.512784227884991,0.932148571539761
